typuz_naz,nazev,uzcis,uzkod,vse10111,vse10121,vse10131,vse10141,vse10151,vse10161,vse10171,vse10181,vse10191
"kraj","HlavnÌ mÏsto Praha","100","3018",579509.0000,300262.0000,138255.0000,85440.0000,36987.0000,39580.0000,5034.0000,225802.0000,48411.0000
"kraj","St¯edoËesk˝ kraj","100","3026",523045.0000,329829.0000,150431.0000,112184.0000,32229.0000,34985.0000,10207.0000,158918.0000,24091.0000
"kraj","JihoËesk˝ kraj","100","3034",262692.0000,163840.0000,76508.0000,53696.0000,15649.0000,17987.0000,4332.0000,84195.0000,10325.0000
"kraj","PlzeÚsk˝ kraj","100","3042",242397.0000,147651.0000,71475.0000,46581.0000,14052.0000,15543.0000,3555.0000,79334.0000,11857.0000
"kraj","Karlovarsk˝ kraj","100","3051",128904.0000,73917.0000,34015.0000,21078.0000,8252.0000,10572.0000,1610.0000,45345.0000,8032.0000
"kraj","⁄steck˝ kraj","100","3069",352346.0000,206511.0000,94889.0000,62423.0000,20455.0000,28744.0000,3936.0000,122615.0000,19284.0000
"kraj","Libereck˝ kraj","100","3077",183299.0000,110698.0000,50799.0000,35264.0000,11174.0000,13461.0000,2640.0000,60916.0000,9045.0000
"kraj","Kr·lovÈhradeck˝ kraj","100","3085",228256.0000,143577.0000,68242.0000,46829.0000,13517.0000,14989.0000,3463.0000,72208.0000,9008.0000
"kraj","Pardubick˝ kraj","100","3093",207396.0000,133552.0000,62931.0000,45395.0000,12124.0000,13102.0000,3448.0000,62789.0000,7607.0000
"kraj","Kraj VysoËina","100","3107",198504.0000,131108.0000,62067.0000,45833.0000,11948.0000,11260.0000,4425.0000,56688.0000,6283.0000
"kraj","Jihomoravsk˝ kraj","100","3115",473520.0000,295668.0000,136389.0000,97136.0000,31929.0000,30214.0000,10497.0000,145117.0000,22238.0000
"kraj","Olomouck˝ kraj","100","3123",257964.0000,164554.0000,76313.0000,54633.0000,16135.0000,17473.0000,4405.0000,78801.0000,10204.0000
"kraj","ZlÌnsk˝ kraj","100","3131",229682.0000,150952.0000,69107.0000,52305.0000,15827.0000,13713.0000,4928.0000,66330.0000,7472.0000
"kraj","Moravskoslezsk˝ kraj","100","3140",507608.0000,315748.0000,145140.0000,101673.0000,31581.0000,37354.0000,7214.0000,163089.0000,21557.0000
"okres","Beneöov","101","40169",38199.0000,24342.0000,11549.0000,7843.0000,2446.0000,2504.0000,923.0000,11522.0000,1412.0000
"okres","Beroun","101","40177",34841.0000,22221.0000,10237.0000,7368.0000,2323.0000,2293.0000,746.0000,10315.0000,1559.0000
"okres","Kladno","101","40185",66023.0000,41105.0000,19207.0000,13031.0000,4232.0000,4635.0000,1094.0000,20544.0000,3280.0000
"okres","KolÌn","101","40193",39730.0000,24821.0000,11857.0000,8027.0000,2497.0000,2440.0000,748.0000,12456.0000,1705.0000
"okres","Kutn· Hora","101","40207",29964.0000,19019.0000,9190.0000,6059.0000,1936.0000,1834.0000,605.0000,9215.0000,1125.0000
"okres","MÏlnÌk","101","40215",42142.0000,26486.0000,12245.0000,8672.0000,2686.0000,2883.0000,809.0000,12871.0000,1976.0000
"okres","Mlad· Boleslav","101","40223",51316.0000,31246.0000,14675.0000,10518.0000,2970.0000,3083.0000,871.0000,16402.0000,2797.0000
"okres","Nymburk","101","40231",39107.0000,24577.0000,11238.0000,8472.0000,2383.0000,2484.0000,679.0000,12246.0000,1605.0000
"okres","Praha-v˝chod","101","40240",61465.0000,39733.0000,16492.0000,15327.0000,3458.0000,4456.0000,1332.0000,17229.0000,3171.0000
"okres","Praha-z·pad","101","40258",51429.0000,33472.0000,13621.0000,13142.0000,2891.0000,3818.0000,1070.0000,14232.0000,2655.0000
"okres","P¯Ìbram","101","40266",46512.0000,28855.0000,13412.0000,9303.0000,2977.0000,3163.0000,830.0000,14985.0000,1842.0000
"okres","RakovnÌk","101","40274",22317.0000,13952.0000,6708.0000,4422.0000,1430.0000,1392.0000,500.0000,6901.0000,964.0000
"okres","»eskÈ BudÏjovice","101","40282",79381.0000,48564.0000,22113.0000,16481.0000,4571.0000,5399.0000,1199.0000,26260.0000,3358.0000
"okres","»esk˝ Krumlov","101","40291",24972.0000,15486.0000,7059.0000,5136.0000,1406.0000,1885.0000,421.0000,7906.0000,1159.0000
"okres","Jind¯ich˘v Hradec","101","40304",36661.0000,23641.0000,11225.0000,7753.0000,2243.0000,2420.0000,720.0000,11087.0000,1213.0000
"okres","PÌsek","101","40312",29750.0000,18392.0000,8731.0000,5662.0000,1890.0000,2109.0000,442.0000,9805.0000,1111.0000
"okres","Prachatice","101","40321",20539.0000,13041.0000,5959.0000,4392.0000,1223.0000,1467.0000,336.0000,6392.0000,770.0000
"okres","Strakonice","101","40339",29148.0000,17927.0000,8524.0000,5679.0000,1794.0000,1930.0000,496.0000,9492.0000,1233.0000
"okres","T·bor","101","40347",42241.0000,26789.0000,12897.0000,8593.0000,2522.0000,2777.0000,718.0000,13253.0000,1481.0000
"okres","Domaûlice","101","40355",24940.0000,15884.0000,7580.0000,5310.0000,1438.0000,1556.0000,348.0000,7692.0000,1016.0000
